Feature,Frequency,Frequency %
Display-Screen Size,1528,100.0
Display-Pixel Density,1525,99.80366492146598
Performance-RAM,1505,98.49476439790575
Display-Display Type,1494,97.77486910994764
Performance-Processor,1493,97.70942408376963
Camera-Main camera Resolution,1444,94.50261780104712
Battery-Capacity,1427,93.39005235602095
Camera-Front camera Resolution,1398,91.49214659685863
Performance-Chipset,1023,66.95026178010471
Camera-Flash,961,62.89267015706807
Battery-User Replaceable,758,49.60732984293193
Battery-USB Type-C,508,33.246073298429316
Battery-Quick Charging,257,16.819371727748692
Display-Screen to Body Ratio,166,10.863874345549739
Battery-Type,150,9.81675392670157
Display-Screen Protection,16,1.0471204188481675
Battery-Wireless Charging,5,0.32722513089005234
Camera-Camera Features,3,0.1963350785340314
Display-Screen Resolution,3,0.1963350785340314
Display-Touch Screen,3,0.1963350785340314
Battery-Talktime,1,0.06544502617801047
Camera-Optical Image Stabilisation,1,0.06544502617801047
Camera-Autofocus,1,0.06544502617801047
Battery-Standby time,1,0.06544502617801047
Camera-Image Resolution,1,0.06544502617801047
Display-,1,0.06544502617801047
